what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1324165180000
os,sysinfo,,,"win32",1324165180000
arch,sysinfo,,,"x86_64",1324165180000
ws,sysinfo,,,"win32",1324165180000
locale,sysinfo,,,"en_US",1324165180000
processors,sysinfo,,,"4",1324165180000
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1324165180000
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1324165180000
java.specification.name,sysinfo,,,"Java Platform API Specification",1324165180000
java.specification.vendor,sysinfo,,,"Oracle Corporation",1324165180000
java.specification.version,sysinfo,,,"1.7",1324165180000
java.vendor,sysinfo,,,"Oracle Corporation",1324165180000
java.version,sysinfo,,,"1.7.0_02",1324165180000
java.vm.info,sysinfo,,,"mixed mode",1324165180000
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1324165180000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324165180000
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1324165180000
java.vm.specification.version,sysinfo,,,"1.7",1324165180000
java.vm.vendor,sysinfo,,,"Oracle Corporation",1324165180000
java.vm.version,sysinfo,,,"22.0-b10",1324165180000
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1324165180000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324165182218
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324165194109
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1324165206984
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1324165207000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324165218687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.help.aboutAction",1324165218687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324165219781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324165220625
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324165220703
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1324165220781
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1324165220843
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1324165220843
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1324165220921
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1324165220937
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1324165220937
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1324165220937
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1324165220937
