what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1339875774812
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1339875774812
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1339875774812
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339875774812
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339875774828
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339875774828
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1339875774828
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1339875774843
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1339875774843
os,sysinfo,,,"win32",1339875774843
arch,sysinfo,,,"x86_64",1339875774843
ws,sysinfo,,,"win32",1339875774843
locale,sysinfo,,,"en_US",1339875774843
processors,sysinfo,,,"4",1339875774843
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339875774843
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1339875774843
java.specification.name,sysinfo,,,"Java Platform API Specification",1339875774843
java.specification.vendor,sysinfo,,,"Oracle Corporation",1339875774843
java.specification.version,sysinfo,,,"1.7",1339875774843
java.vendor,sysinfo,,,"Oracle Corporation",1339875774843
java.version,sysinfo,,,"1.7.0_02",1339875774843
java.vm.info,sysinfo,,,"mixed mode",1339875774843
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1339875774843
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339875774843
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1339875774843
java.vm.specification.version,sysinfo,,,"1.7",1339875774843
java.vm.vendor,sysinfo,,,"Oracle Corporation",1339875774843
java.vm.version,sysinfo,,,"22.0-b10",1339875774843
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1339875774890
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339875775031
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339875775078
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1339875775171
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1339875815484
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1339875815687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339875815750
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1339875815906
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1339875816078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339875818437
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339875819625
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1339875819953
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1339875820281
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1339875820296
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1339875820312
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1339875820343
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1339875820359
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1339875820359
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1339875820375
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1339875820375
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1339875820375
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1339875820375
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1339875820390
